"instance","class"
"http://example.org/merged_ontology.owl#Genus","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#GeographicalLocation","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#GeologicalContext","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#HumanObservation","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000005","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000007","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000015","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000027","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000030","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000033","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000078","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000101","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000102","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000104","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000178","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000185","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000225","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000310","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_0000409","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000000","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000001","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000002","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000003","http://www.w3.org/2002/07/owl#Class"
